lat,lon
40.00797092,-105.26702422
40.02191095,-105.2518086
40.01059915,-105.27123662
39.99900256,-105.25197034
40.00782045,-105.27524035
40.00668165,-105.26674552
40.00875031,-105.270544
39.99917537,-105.23734103
40.00560783,-105.26601884
40.05846968,-105.27849623
39.99909227,-105.25216603
40.00752616,-105.27882186
40.00755042,-105.27883024
40.00243835,-105.25679412
40.00177898,-105.27038966
39.9827909,-105.2430438
40.00525173,-105.26440842
39.99893294,-105.25154483
40.00249165,-105.25662019
40.007474,-105.27584
39.99892632,-105.25154487
40.03157741,-105.23358151
40.0208711,-105.2391508
40.00760508,-105.27893862
40.0076111,-105.27895884
40.0077775,-105.2653957
40.00918835,-105.27519174
40.0077739,-105.2653933
40.01500579,-105.25971246
40.01629556,-105.2809206
40.01480525,-105.25987733
40.02887703,-105.22830168
40.00524544,-105.26819863
40.01762921,-105.28177016
40.00739632,-105.27890727
40.01763658,-105.2816982
40.00595866,-105.26645478
40.02804564,-105.2568319
40.00020223,-105.25313775
40.00052341,-105.25333442
40.00872506,-105.27061712
40.006348,-105.2715537
40.00319782,-105.26319235
40.01817611,-105.27873626
40.0159102,-105.28125898
40.0077737,-105.2653653
40.00731745,-105.27908958
40.00860073,-105.26901015
40.01163212,-105.27903459
40.00315466,-105.26315226
40.00850332,-105.26904772
40.00790904,-105.28486809
40.00850332,-105.26904772
40.00711772,-105.27370388
40.0019566,-105.26351245
40.0019066,-105.26397462
40.01104255,-105.27346872
40.00191547,-105.26351496
40.01107849,-105.27342559
40.0108919,-105.2570573
40.01294216,-105.23397713
39.99996088,-105.26364556
40.01305637,-105.23391006
40.01310118,-105.23393107
40.01304535,-105.23393526
40.01305676,-105.23391513
40.01300451,-105.23397452
40.01294699,-105.23378673
40.00752972,-105.27891045
40.01301039,-105.23395045
40.00581252,-105.27731008
40.01298324,-105.23397336
40.0129824,-105.23403123
40.01758146,-105.28180158
40.00465598,-105.26452973
40.00572831,-105.27433336
40.03063245,-105.25800706
40.00589417,-105.27304419
40.00761313,-105.2761961
40.00722233,-105.27031837
40.01164711,-105.28388052
40.01765088,-105.2817572
40.0062861,-105.2656775
40.01052285,-105.27700981
40.00824943,-105.26752419
40.0194,-105.259
40.00192123,-105.26392168
40.00327789,-105.26147098
40.0074532,-105.2631135
40.00923432,-105.27176237
40.0019518,-105.26395263
